NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,15-04-0145-43,15-011,BAJA VERAPAZ,CUBULCO,EORM,ALDEA SAN JOSE EL RODEO,,SANTOS BALTAZAR CEBALLOS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0146-43,15-013,BAJA VERAPAZ,CUBULCO,EORM TECUN UMAN,"CASERIO CHICUXTIN, ALDEA LAS VEGAS",50373133,VALENTIN RODRIGUEZ MARQUEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0147-43,15-013,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO EL NARANJO, ALDEA LAS VEGAS",59002851,VALENTIN RODRIGUEZ MARQUEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0148-43,15-012,BAJA VERAPAZ,CUBULCO,EORM,"CASERÍO CHIMACHÓ, ALDEA GUATZILEP",,JUANA TAPERIA PEREZ,JUAN RODRÍGUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0149-43,15-013,BAJA VERAPAZ,CUBULCO,EORM,ALDEA LAS VEGAS,,VALENTIN RODRIGUEZ MARQUEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0150-43,15-013,BAJA VERAPAZ,CUBULCO,EORM,CASERIO XINACATI ALDEA LAS VEGAS,,VALENTIN RODRIGUEZ MARQUEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0151-43,15-012,BAJA VERAPAZ,CUBULCO,EORM,"CASERÍO PALÁ, ALDEA TRES CRUCES",,JUANA TAPERIA PEREZ,MANUEL TAPERIA LUIS,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0152-43,15-012,BAJA VERAPAZ,CUBULCO,EORM,ALDEA GUATZILEP,50686532,JUANA TAPERIA PEREZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0153-43,15-011,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO EL CHUP, ALDEA PATZOCON",52005542,SANTOS BALTAZAR CEBALLOS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0154-43,15-011,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO CHIRRUMAN, ALDEA SUTUN",40963179,SANTOS BALTAZAR CEBALLOS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0155-43,15-011,BAJA VERAPAZ,CUBULCO,EORM,"CASERÍO VEGA SANTA ROSA, ALDEA SANTA ROSA",,SANTOS BALTAZAR CEBALLOS,ROLANDO DE LA CRUZ TELETOR,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0156-43,15-012,BAJA VERAPAZ,CUBULCO,EORM,CASERIO CHUACHACALTE ALDEA TRES CRUCES,46189479,JUANA TAPERIA PEREZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0157-43,15-012,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO XEYOCH, ALDEA SANTA ROSA",45558881,JUANA TAPERIA PEREZ,FRANCISCO TELETOR RIZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0158-43,15-011,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO QUEBRADA HONDA, ALDEA CANCHEL",,SANTOS BALTAZAR CEBALLOS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0159-43,15-012,BAJA VERAPAZ,CUBULCO,EORM,CASERIO SACAQUEJ ALDEA TRES CRUCES,,JUANA TAPERIA PEREZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0160-43,,BAJA VERAPAZ,CUBULCO,EORM,"REASENTAMIENTO CHICRUZ, COLONIA EL NARANJO",79540126,,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0161-43,15-013,BAJA VERAPAZ,CUBULCO,EORM,"CASERÍO CHICRUZ, ALDEA LOS PAJALES",45657659,VALENTIN RODRIGUEZ MARQUEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0162-43,15-013,BAJA VERAPAZ,CUBULCO,EORM,ALDEA LOS PAJALES,,VALENTIN RODRIGUEZ MARQUEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0163-43,15-011,BAJA VERAPAZ,CUBULCO,EORM,CASERIO TUNCAJ ALDEA SAN JOSE EL RODEO,,SANTOS BALTAZAR CEBALLOS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0164-43,15-011,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO SANGRE DE CRISTO, ALDEA CANCHEL",45410138,SANTOS BALTAZAR CEBALLOS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0165-43,15-011,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO SANTA RITA-PASAHU, ALDEA CANCHEL",40918476,SANTOS BALTAZAR CEBALLOS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
