NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,14-13-0090-43,14-020,QUICHE,NEBAJ,EORM,"CASERIO ANTIGUO TUJOLOM, ALDEA VIJOLOM I",32104047,FELIX GASPAR CEDILLO CETO,MIGUEL BERNAL RAYMUNDO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0091-43,14-049,QUICHE,NEBAJ,EORM,ALDEA SAJBUTA,48429386,JACINTO GOMEZ CEDILLO,DIEGO ONOFRE RODRÍGUEZ MEDINA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0093-45,14-020,QUICHE,NEBAJ,INEB DE TELESECUNDARIA,ALDEA VIJOLOM II,57289327,FELIX GASPAR CEDILLO CETO,JUAN GUALBERTO RAMÍREZ RAYMUNDO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0094-45,14-019,QUICHE,NEBAJ,INEB DE TELESECUNDARIA,ALDEA XEPIUN,30064688,FERNANDO PEDRO LOPEZ DE LEON,VICENTE DE LEÓN CETO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0095-46,14-019,QUICHE,NEBAJ,"COLEGIO PRIVADO MIXTO ""JESUS RUANO MORENO""",CANTON XOLACUL,30839684,FERNANDO PEDRO LOPEZ DE LEON,JESÚS BRITO RAYMUNDO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0096-43,14-020,QUICHE,NEBAJ,EORM,ALDEA ANTIGUO XONCÁ,53352710,FELIX GASPAR CEDILLO CETO,JOAQUÍN AROLDO MORALES LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0097-41,14-020,QUICHE,NEBAJ,COPB ANEXO A EORM,ALDEA ANTIGUO XONCÁ,31670676,FELIX GASPAR CEDILLO CETO,JOAQUÍN AROLDO MORALES LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0098-42,14-019,QUICHE,NEBAJ,EODEE,"3A. CALLE 7-08 ZONA 3, CANTON XOLACUL",33296573,FERNANDO PEDRO LOPEZ DE LEON,JACINTA CETO COBO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0099-43,14-019,QUICHE,NEBAJ,EODEE,"3A. CALLE 7-08 ZONA 3, CANTON XOLACUL",33296573,FERNANDO PEDRO LOPEZ DE LEON,JACINTA CETO COBO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0100-46,14-020,QUICHE,NEBAJ,CENTRO DE EDUCACION MIXTO DE DIVERSIFICADO IXIL -CEMDI-,ALDEA SALQUIL GRANDE,46415714,FELIX GASPAR CEDILLO CETO,LEONEL JACINTO CETO BRITO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
