NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,05-04-0628-43,05-009,ESCUINTLA,SIQUINALA,EORM,COMUNIDAD AGRARIA LUCERNA,51702916,ENMANUEL IVAN ESTRADA ARROYO,SAIRA VERÓNICA RAMIREZ NAVARRO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-0629-43,05-009,ESCUINTLA,SIQUINALA,EORM,ALDEA EL NISPERO,51269688,ENMANUEL IVAN ESTRADA ARROYO,HEIDY SUZETH VELIZ HERNANDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-0684-43,,ESCUINTLA,SIQUINALA,EPRM 'RAMIRO MACDONALD BLANCO',LOTIFICACION LAS PALMAS,,,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-0685-43,,ESCUINTLA,SIQUINALA,EMUM 'MI PEQUEYO TESORO',8A. CALLE 4-5 ZONA 1,,,,PRIMARIA,MUNICIPAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-0760-43,,ESCUINTLA,SIQUINALA,IEBC,COMUNIDAD AGRARIA SAN ANDRES,,,,PRIMARIA,COOPERATIVA,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-0837-42,05-022,ESCUINTLA,SIQUINALA,ESCUELA PRIVADA RURAL MIXTA DE FUNDACIÓN PANTALEON,KILOMETRO 86.5 CARRETERA AL PACÍFICO.,79688470,JUAN ALBERTO MACHUCA ALVAREZ,LILIAN ELENA GORDON SOTO,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-1899-42,05-009,ESCUINTLA,SIQUINALA,EODP,KM 82.3 CARRETERA A SIQUINALA,44999922,ENMANUEL IVAN ESTRADA ARROYO,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-1959-43,,ESCUINTLA,SIQUINALA,EORM,COMUNIDAD LA CEIBA,,,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-1963-42,05-009,ESCUINTLA,SIQUINALA,EODP ANEXA A EORM,COMUNIDAD AGRARIA LA LUCERNA,51702916,ENMANUEL IVAN ESTRADA ARROYO,SAIRA VERÓNICA RAMIREZ NAVARRO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2047-43,05-009,ESCUINTLA,SIQUINALA,EORM,COLONIA TIERRA VERDE,77921457,ENMANUEL IVAN ESTRADA ARROYO,LILIAN COSUELO DE LA ROCA COLIDRES DE GONZALEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2069-46,,ESCUINTLA,SIQUINALA,INSTITUTO MIXTO DE EDUCACION POR COOPERATIVA,COLONIA TIERRA VERDE,,,,DIVERSIFICADO,COOPERATIVA,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
,05-04-2113-43,,ESCUINTLA,SIQUINALA,EORM,CASERIO SAN FRANCISCO,,,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2114-43,,ESCUINTLA,SIQUINALA,EORM 'SAN VICENTE',,,,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2196-45,05-009,ESCUINTLA,SIQUINALA,IEBC,COLONIA TIERRA VERDE,,ENMANUEL IVAN ESTRADA ARROYO,,BASICO,COOPERATIVA,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
,05-04-2203-45,05-022,ESCUINTLA,SIQUINALA,"INSTITUTO DE EDUCACIÓN BÁSICA O CULTURA GENERAL ""FUNDACIÓN PANTALEÓN""",KILOMETRO 86.5 CARRETERA AL PACÍFICO.,79688470,JUAN ALBERTO MACHUCA ALVAREZ,MIRNA ELIZABETH BONILLA PÉREZ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2300-42,05-009,ESCUINTLA,SIQUINALA,CEIN -PAIN-,COLONIA TIERRA VERDE,56080196,ENMANUEL IVAN ESTRADA ARROYO,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2448-45,05-022,ESCUINTLA,SIQUINALA,INSTITUTO DE EDUCACION BASICA Y DIVERSIFICADO PARA ADULTOS FUNDACION PANTALEON,INGENIO PANTALEON,55144947,JUAN ALBERTO MACHUCA ALVAREZ,MIRNA ELIZABETH BONILLA PEREZ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
,05-04-2449-46,05-022,ESCUINTLA,SIQUINALA,INSTITUTO DE EDUCACIÓN BÁSICA Y DIVERSIFICADO PARA ADULTOS FUNDACIÓN PANTALEON,INGENIO PANTALEON,55144947,JUAN ALBERTO MACHUCA ALVAREZ,MIRNA ELIZABETH BONILLA PÉREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,INTERMEDIA,FIN DE SEMANA,ESCUINTLA
,05-04-2474-42,05-009,ESCUINTLA,SIQUINALA,EODP,COLONIA TIERRA VERDE,59463489,ENMANUEL IVAN ESTRADA ARROYO,MIRIAM CAROLINA CRUZ GONZÁLEZ DE SOBERANIS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
