NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,18-04-2432-42,18-043,IZABAL,MORALES,CENTRO EDUCATIVO BILINGÜE DEL MONTE,FINCA BANANERA,31192111,HENRY FLOWERS EVANS,STEPHANIE MARIA SAGASTUME CORDON,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),IZABAL
,18-04-2433-46,18-039,IZABAL,MORALES,CENTRO EDUCATIVO BILINGÜE DEL MONTE,FINCA BANANERA,79201120,KELVIN RODRIGO HERNANDEZ MARTINEZ,LUIS ALBERTO ACEITUNO QUEZADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),IZABAL
,18-04-2434-42,18-029,IZABAL,MORALES,CEIN -PAIN- ANEXA A EORM,ALDEA EL NARANJITO,41289067,MARCO TULIO ROLDAN MEJIA,ADRIANA BEATRIZ VÁSQUEZ VILLEDA DE MENDEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2436-42,18-028,IZABAL,MORALES,CEIN -PAIN-,ALDEA BUENA VISTA,,CESAR ALFREDO OSORIO BOTZOC,--,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2442-46,18-039,IZABAL,MORALES,INSTITUTO PARTICULAR MIXTO DE EDUCACION BASICA Y DIVERSIFICADA ADS. A COLEGIO BILINGÜE MUNDO INFANTIL,BARRIO NUEVO,79476823,KELVIN RODRIGO HERNANDEZ MARTINEZ,SANDRA NINETH GARCIA SANDOVAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2444-46,18-039,IZABAL,MORALES,INSTITUTO PARTICULAR MIXTO DE EDUCACION DIVERSIFICADA PEDRO MOLINA,ALDEA ARAPAHOE,79480009,KELVIN RODRIGO HERNANDEZ MARTINEZ,JOSE ALBERTO JUAREZ DE PAZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
,18-04-2445-45,18-039,IZABAL,MORALES,INSTITUTO PARTICULAR MIXTO DE EDUCACION BASICA DOCTOR PEDRO MOLINA,FINCA LANQUIN,7948009,KELVIN RODRIGO HERNANDEZ MARTINEZ,---,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
,18-04-2446-42,18-043,IZABAL,MORALES,COLEGIO PRIVADO DE EDUCACION PREPRIMARIA MI PEQUEÑO SABIO,BARRIO EL MITCHAL,58913359,HENRY FLOWERS EVANS,SILVIA CONSUELO BARRERA VALIENTE,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
,18-04-2451-45,18-039,IZABAL,MORALES,INEB INSTITUTO PARTICULAR MIXTO DE EDUCACION BASICA RIO BLANCO,ALDEA RIO BLANCO,79480019,KELVIN RODRIGO HERNANDEZ MARTINEZ,HENRY FLOWERS EVANS,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),IZABAL
,18-04-2477-42,18-029,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA CRUCE DE CAYUGA,48624449,MARCO TULIO ROLDAN MEJIA,ANA PATRICIA GARCÍA NÁJERA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2478-42,18-028,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA CRUCE DE VIRGINIA,,CESAR ALFREDO OSORIO BOTZOC,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2479-42,18-028,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA LAS POZAS,,CESAR ALFREDO OSORIO BOTZOC,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2480-42,18-025,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA PICUAT,58981788,ILSI NOEMI SALGUERO SALGUERO DE MOLINA,CLAUDIA JULIZZA FOLGAR CASTILLO DE ORTIZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2481-42,18-027,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA MOJANALES,31905568,OSCAR LEONEL FELIPE,GERSON HERLINDO RUANO LÓPEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2484-43,18-031,IZABAL,MORALES,EOUM,BARRIO SAN ANTONIO,77566302,MELIDA ARGENTINA CASTRO CASTELLANOS,CLAUDIA YADIRA RUIZ CAMPOS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
,18-04-2499-42,18-028,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA VIRGINIA,,CESAR ALFREDO OSORIO BOTZOC,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2501-43,18-043,IZABAL,MORALES,COLEGIO PRIVADO MIXTO MI PEQUEÑO SABIO,BARRIO EL MITCHAL,31650060,HENRY FLOWERS EVANS,NEFTALI DE JESUS SALAZAR MARTINEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
,18-04-2512-42,18-028,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA YORK,,CESAR ALFREDO OSORIO BOTZOC,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2513-42,,IZABAL,MORALES,CEIN PAIN,ALDEA SHANE,,,,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2514-45,18-030,IZABAL,MORALES,INEB DE TELESECUNDARIA JACOBO ARBENZ GUZMAN,ALDEA DARMOUTH,52056189,SANTIAGO GUTIERREZ RECINOS,--,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
,18-04-2515-45,18-030,IZABAL,MORALES,INEB DE TELESECUNDARIA OSCAR DE LEON PALACIOS,ALDEA CAYUGA,56968070,SANTIAGO GUTIERREZ RECINOS,AMED BENJAMIN ROSSILL BARRIENTOS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
,18-04-2526-46,18-039,IZABAL,MORALES,COLEGIO PRIVADO MIXTO BILINGUE A B C SAN FRANCISCO,BARRIO EL MITCHAL,79478650,KELVIN RODRIGO HERNANDEZ MARTINEZ,SERGIO DE PAZ FRANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
,18-04-2584-42,18-042,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA EL CEDRITO MILLA SIETE,59668718,BYRON RANDOLFO DIAZ GARCIA,VILDA SARIBETH PERDOMO ALFARO URRUTIA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2615-43,18-042,IZABAL,MORALES,EORM,ALDEA BARRANCA,55958325,BYRON RANDOLFO DIAZ GARCIA,GLORIA ALEJANDRA VILLEDA BUEZO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
,18-04-2616-42,18-042,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA BARRANCA,79480009,BYRON RANDOLFO DIAZ GARCIA,GLORIA ALEJANDRA VILLEDA BUEZO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
,18-04-2671-43,18-014,IZABAL,MORALES,EPRM,FINCA CAROLINA,,WILSON MANUEL PEREZ ADRIANO,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2672-43,18-043,IZABAL,MORALES,EPRM EPRM,FINCA PRIMAVERA,79480009,HENRY FLOWERS EVANS,--,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2687-42,18-028,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA PIEDRAS DE SANGRE,,CESAR ALFREDO OSORIO BOTZOC,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2688-42,18-028,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA VALLE NUEVO ARRIBA,,CESAR ALFREDO OSORIO BOTZOC,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2689-42,18-028,IZABAL,MORALES,EODP ANEXA A EORM PROF. MAYNOR ALCIDES ESPAÑA TORRES,ALDEA RIO BLANCO,,CESAR ALFREDO OSORIO BOTZOC,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2690-42,18-028,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA SANTA ELENA GRAN CAÑON,,CESAR ALFREDO OSORIO BOTZOC,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2691-42,18-028,IZABAL,MORALES,EODP ANEXA A EORM PEDRO MOLINA,ALDEA GRAN CAÑON,,CESAR ALFREDO OSORIO BOTZOC,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2692-42,18-028,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA SAN FRANCISCO MILLA 45,,CESAR ALFREDO OSORIO BOTZOC,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2701-42,,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA LOS ANDES,,,,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2730-45,18-039,IZABAL,MORALES,INSTITUTO EVANGELICO PARTICULAR MIXTO BAUTISTA,BANANERA,79477790,KELVIN RODRIGO HERNANDEZ MARTINEZ,DAVID RAFAEL CASTILLO DE PAZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
,18-04-2736-42,18-029,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA SANTA ROSA LAS FLORES,41652196,MARCO TULIO ROLDAN MEJIA,SULMA YANINA JURADO GARCÍA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2741-42,18-025,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA TENEDORES ESTACION,57560944,ILSI NOEMI SALGUERO SALGUERO DE MOLINA,MARIA MAGDALENA MEJICANO PÉREZ DE LÓPEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2742-43,18-014,IZABAL,MORALES,EPRM,FINCA BERLIN ALDEA CHAMPONA,,WILSON MANUEL PEREZ ADRIANO,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2769-42,18-026,IZABAL,MORALES,EODP ANEXA A EORM,ALDEA EL SHANE,53500139,RENE ORLANDO ALDANA ZUÑIGA,ELMER OSVALDO MIRANDA SAGASTUME,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2771-42,18-026,IZABAL,MORALES,EODP ANEXA AEORM,ALDEA LA COROZA,37033748,RENE ORLANDO ALDANA ZUÑIGA,ELDER ROLANDO VELÁSQUEZ PÉREZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2772-42,18-029,IZABAL,MORALES,EODP ANEXA A EORM,CASERIO LAS CUCHARAS ALDEA NAVAJOA,58055747,MARCO TULIO ROLDAN MEJIA,MARÍA DE LOS ANGELES PÉREZ VÁSQUEZ DE GONZÁLEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
,18-04-2774-45,18-030,IZABAL,MORALES,INEB DE TELESECUNDARIA JORGE SARMIENTOS,ALDEA LOS CERRITOS,51909870,SANTIAGO GUTIERREZ RECINOS,ALBA CAROLINA BARRIENTOS PAIZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
