NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,06-01-0039-46,06-001,SANTA ROSA,CUILAPA,"ESCUELA NACIONAL DE CIENCIAS COMERCIALES ""PROFESOR JORGE HUGO BARILLAS MÉNDEZ",LOTIFICACION BELLA VISTA EL CALVARIO,42997568,IRMA YOLANDA CHACON ARROYO,CARLA SELENE FORTUNY HERNÁNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0040-46,06-001,SANTA ROSA,CUILAPA,LICEO CUILAPA,CABECERA MUNICIPAL,58560517,IRMA YOLANDA CHACON ARROYO,NERY FRANCISCO MAURICIO LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SANTA ROSA
,06-01-0041-45,06-001,SANTA ROSA,CUILAPA,"COLEGIO TECNICO-INDUSTRIAL ""EMANUEL""","2A. AVENIDA 1-53 ZONA 4, BARRIO EL LLANITO",78207936,IRMA YOLANDA CHACON ARROYO,NELSON DARWIN GEOVANY DÍAZ AGUILAR,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0042-42,06-001,SANTA ROSA,CUILAPA,EODP,CASERIO BRISAS DEL ZAPOTE,32149858,IRMA YOLANDA CHACON ARROYO,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0043-42,06-001,SANTA ROSA,CUILAPA,EODP,CASERIO CUESTA CHIQUITA,,IRMA YOLANDA CHACON ARROYO,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0044-42,06-001,SANTA ROSA,CUILAPA,EODP,COLONIA NUESTRA SE%ORA CONSOLADORA DEL CARPINELLO,,IRMA YOLANDA CHACON ARROYO,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0046-42,06-001,SANTA ROSA,CUILAPA,EODP,CASERIO SAN MATEO,59400750,IRMA YOLANDA CHACON ARROYO,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0047-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERIO LAS ANIMAS,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0048-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERIO BRISAS DEL ZAPOTE,,IRMA YOLANDA CHACON ARROYO,HENRY OSWALDO RAMÍREZ PARADA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0049-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERIO SAN JOSE LAS BRISAS,50139136,IRMA YOLANDA CHACON ARROYO,DORA ESPERANZA HERRERA SOLARES DE DONIS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
